"15-Mar-2018","1451986-0001","29801.0","100.35","WOODFIELD COUNTRY CLUB"
"12-Mar-2018","1452686-0001","1087324/029999","417.35","SSC c/o HYATT WINDWARD POINTE"
"12-Mar-2018","1452688-0001","1087384/030010","70.67","KEY WEST MARRIOTT BEACHSIDE HO"
"15-Mar-2018","1452971-0001","1087536/030052","223.89","COCONUT BEACH RESORT"
"13-Mar-2018","2252454-0005","1085662/029607","12.46","RITZ CARLTON BCH RESORT-NAPLES"
"15-Mar-2018","2252887-0008","1086489/029790","87.8","RITZ CARLTON BCH RESORT-NAPLES"
"13-Mar-2018","2252887-5002","1086489/029790","110.55","RITZ CARLTON BCH RESORT-NAPLES"
"13-Mar-2018","2253126-0003","1087052/029921","287.53","RITZ CARLTON BCH RESORT-NAPLES"
"13-Mar-2018","2253126-5001","1087052/029921","160.42","RITZ CARLTON BCH RESORT-NAPLES"
"13-Mar-2018","2253361-0001","1087443/030019","134.02","HYATT CLEARWATER BEACH RESORT"
"16-Mar-2018","2253530-5001","1087680/030075","371.59","RITZ CARLTON BCH RESORT-NAPLES"
"15-Mar-2018","2514785-0001","VARIOUS","-948.89","HYATT CLEARWATER BEACH RESORT"
"13-Mar-2018","4111829-0003","1087179/029950","140.73","SPRINGS FOOD SERV C/O JRS"
"12-Mar-2018","4111936-0001","1087364/030003","139.2","ALHAMBRA VILLAGE/SSC"
"12-Mar-2018","4111939-0001","1087370/030009","7.07","ALHAMBRA VILLAGE/SSC"
"14-Mar-2018","4111939-0002","1087370/030009","14.4","ALHAMBRA VILLAGE/SSC"
"13-Mar-2018","4111943-0001","30012.0","105.01","SPRINGS FOOD SERV C/O JRS"
"12-Mar-2018","6120963-0001","1087343/030001","732.78","AMERISTAR CASINO & HOTEL"
"14-Mar-2018","6120964-0001","1087345/030008","207.18","AMERISTAR CASINO & HOTEL"
"12-Mar-2018","6120965-0001","1087380/030005","285.48","MAINTENANCE MASTERS"
"14-Mar-2018","6121024-0001","1087491/030032","127.31","KINGSGATE RESORT HOUSEKPNG"
"16-Mar-2018","6121025-5001","1087496/030034","810.12","FAIRFIELD INN RESORTS @ GOVER"
"16-Mar-2018","6121052-0001","30051.0","120.85","AMERISTAR CASINO"
"15-Mar-2018","6121058-0001","1087572/030053","609.34","HORSESHOE SOUTHERN INDIANA"
"15-Mar-2018","6121059-0001","1087573/030054","311.83","HORSESHOE SOUTHERN INDIANA"
"15-Mar-2018","6121060-0001","1087577/030056","799.38","GOLDEN NUGGET - HOUSEKEEPING"
"16-Mar-2018","6121091-0001","1087651/030068","884.56","MARGARITAVILLE CASINO C/O THE"
"16-Mar-2018","6121092-0001","1087656/030069","825.65","L'AUBERGE DU LAC HOEL/FSS EVS"
"16-Mar-2018","6121092-0002","1087656/030069","112.05","L'AUBERGE DU LAC HOEL/FSS EVS"
"16-Mar-2018","6121093-0001","1087659/030072","9.86","L'AUBERGE DU LAC HOEL/FSS EVS"
"16-Mar-2018","6121094-0001","1087657/030070","60.55","L'AUBERGE DU LAC HOEL/FSS EVS"
"16-Mar-2018","6121095-0001","1087658/030073","15.48","L'AUBERGE DU LAC HOEL/FSS EVS"
